0 1 2
781000.0 5734000.0 2179.759277
782000.0 5734000.0 2134.003906
776000.0 5733000.0 2027.242188
777000.0 5733000.0 2046.848145
778000.0 5733000.0 2064.964844
779000.0 5733000.0 2079.286133
780000.0 5733000.0 2086.270996
781000.0 5733000.0 2080.454102
782000.0 5733000.0 2056.916016
783000.0 5733000.0 2049.272949
784000.0 5733000.0 1936.768066
785000.0 5733000.0 1816.34375
786000.0 5733000.0 1744.788086
787000.0 5733000.0 1746.776367
788000.0 5733000.0 1814.466797
789000.0 5733000.0 1924.829102
790000.0 5733000.0 2059.165039
791000.0 5733000.0 2204.293457
792000.0 5733000.0 2350.62207
793000.0 5733000.0 2490.893066
794000.0 5733000.0 2619.737305
795000.0 5733000.0 2733.678223
772000.0 5732000.0 1894.463379
773000.0 5732000.0 1904.660156
774000.0 5732000.0 1916.616211
775000.0 5732000.0 1929.977051
776000.0 5732000.0 1944.052246
777000.0 5732000.0 1957.722168
778000.0 5732000.0 1969.299805
779000.0 5732000.0 1976.339844
780000.0 5732000.0 1975.390625
781000.0 5732000.0 1961.997559
782000.0 5732000.0 1932.021484
783000.0 5732000.0 1883.439453
784000.0 5732000.0 1768.141602
785000.0 5732000.0 1646.260742
786000.0 5732000.0 1570.863281
787000.0 5732000.0 1590.944336
788000.0 5732000.0 1689.499023
789000.0 5732000.0 1827.476562
790000.0 5732000.0 1984.144531
791000.0 5732000.0 2147.262695
792000.0 5732000.0 2307.885742
793000.0 5732000.0 2458.778809
794000.0 5732000.0 2594.275391
795000.0 5732000.0 2710.66748
767000.0 5731000.0 1823.016602
768000.0 5731000.0 1823.120605
769000.0 5731000.0 1823.702148
770000.0 5731000.0 1825.116211
771000.0 5731000.0 1827.680664
772000.0 5731000.0 1831.624512
773000.0 5731000.0 1837.032227
774000.0 5731000.0 1843.785156
775000.0 5731000.0 1851.484863
776000.0 5731000.0 1859.376953
777000.0 5731000.0 1866.256836
778000.0 5731000.0 1870.347656
779000.0 5731000.0 1869.154785
780000.0 5731000.0 1859.353516
781000.0 5731000.0 1836.828125
782000.0 5731000.0 1796.978516
783000.0 5731000.0 1734.202148
784000.0 5731000.0 1637.366211
785000.0 5731000.0 1535.5625
786000.0 5731000.0 1435.481445
787000.0 5731000.0 1474.264648
788000.0 5731000.0 1605.484375
789000.0 5731000.0 1764.668945
790000.0 5731000.0 1936.835937
791000.0 5731000.0 2112.713867
792000.0 5731000.0 2283.878418
793000.0 5731000.0 2442.564453
794000.0 5731000.0 2582.169922
795000.0 5731000.0 2698.197754
796000.0 5731000.0 2789.400391
763000.0 5730000.0 1788.59668
764000.0 5730000.0 1787.669434
765000.0 5730000.0 1785.92334
766000.0 5730000.0 1783.521484
767000.0 5730000.0 1780.691895
768000.0 5730000.0 1777.720703
769000.0 5730000.0 1774.928711
770000.0 5730000.0 1772.638672
771000.0 5730000.0 1771.139648
772000.0 5730000.0 1770.630371
773000.0 5730000.0 1771.171875
774000.0 5730000.0 1772.616211
775000.0 5730000.0 1774.540039
776000.0 5730000.0 1776.172852
777000.0 5730000.0 1776.307617
778000.0 5730000.0 1773.226563
779000.0 5730000.0 1764.623047
780000.0 5730000.0 1747.606445
781000.0 5730000.0 1718.864258
782000.0 5730000.0 1675.088867
783000.0 5730000.0 1613.78125
784000.0 5730000.0 1535.854492
785000.0 5730000.0 1458.870117
786000.0 5730000.0 1405.771484
787000.0 5730000.0 1449.283203
788000.0 5730000.0 1585.067383
789000.0 5730000.0 1743.43457
790000.0 5730000.0 1918.908203
791000.0 5730000.0 2100.473145
792000.0 5730000.0 2277.776367
793000.0 5730000.0 2441.289551
794000.0 5730000.0 2582.527832
795000.0 5730000.0 2695.262207
796000.0 5730000.0 2777.762695
758000.0 5729000.0 1757.366211
759000.0 5729000.0 1759.42627
760000.0 5729000.0 1760.593262
